,VEHICLE_SIZE,VEHICLE_BUILD_UP,FIRST_COLLECTION_POST_CODE,LAST_DELIVERY_POST_CODE,FIRST_COLLECTION_LATITUDE,FIRST_COLLECTION_LONGITUDE,LAST_DELIVERY_LATITUDE,LAST_DELIVERY_LONGITUDE,FIRST_COLLECTION_SCHEDULE_LATEST_lcl,LAST_DELIVERY_SCHEDULE_LATEST_lcl,CARRIER_SIZE,CARRIER_EFFICIENCY,distance,region_delivery,region_collection,parish_delivery,parish_collection
197,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,NP26 3DF,53.295391,-1.066283,51.55991,-2.882457,2024-01-14 06:05:38+00:00,2024-01-14 11:13:00+00:00,SMALL,OKAY,228.973400514322,,East Midlands,Redwick,
198,Tractor Unit,Curtain-Side 13.6M Trailer,WN4 8DE,ST4 4FA,53.501398,-2.64202,52.983393,-2.181287,2024-01-15 10:30:00+00:00,2024-01-15 17:00:00+00:00,SMALL,BAD,65.27072519153567,West Midlands,North West,"Stoke-on-Trent, unparished area","Wigan, unparished area"
199,Tractor Unit,Curtain-Side 13.6M Trailer,DN8 5TE,WR6 5LN,53.566639,-0.919839,52.194178,-2.313933,2024-01-10 18:00:00+00:00,2024-01-11 08:00:00+00:00,VERY SMALL,BAD,179.0495050683166,West Midlands,Yorkshire and The Humber,Cotheridge,Hatfield
200,3.5T Van,Box,S35 2PW,OX26 4SS,53.476537,-1.471065,51.880152,-1.126155,2024-01-20 23:59:24+00:00,2024-01-21 03:30:00+00:00,UNKNOWN_1,UNKNOWN_2,179.08199000426322,South East,Yorkshire and The Humber,,Ecclesfield
201,Tractor Unit,Curtain-Side 13.6M Trailer,PE29 2XR,NP26 3TS,52.315672,-0.157664,51.571921,-2.862409,2024-01-12 21:55:00+00:00,2024-01-14 10:25:00+00:00,VERY SMALL,GOOD,203.05143679124265,,East of England,Redwick,Godmanchester
202,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,G75 0QH,53.295391,-1.066283,55.764352,-4.176999,2024-01-11 16:55:00+00:00,2024-01-12 17:15:00+00:00,VERY SMALL,GOOD,340.1173427981049,,East Midlands,,
203,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,ML4 3QD,53.295391,-1.066283,55.82813,-4.041567,2024-01-11 11:55:00+00:00,2024-01-12 07:55:00+00:00,VERY SMALL,GOOD,340.78995036068665,,East Midlands,,
204,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,WV4 6UD,53.462845,-2.896967,52.560452,-2.099437,2024-01-16 10:01:00+00:00,2024-01-16 17:25:00+00:00,VERY SMALL,OKAY,113.67903621508208,West Midlands,North West,"Wolverhampton, unparished area","Liverpool, unparished area"
205,3.5T Van,Box,BD5 8LZ,G67 2XN,53.766832,-1.740516,55.936823,-3.983473,2024-01-17 18:30:00+00:00,2024-01-17 23:30:00+00:00,UNKNOWN_1,UNKNOWN_2,280.8338782749979,,Yorkshire and The Humber,,"Bradford, unparished area"
206,Tractor Unit,Box 44ft,BD5 8LZ,RG19 4BQ,53.764125,-1.740145,51.398851,-1.231993,2024-01-19 16:00:00+00:00,2024-01-20 08:56:00+00:00,VERY SMALL,VERY BAD,265.31932768772356,South East,Yorkshire and The Humber,Thatcham,"Bradford, unparished area"
207,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-12 07:17:00+00:00,2024-01-12 13:15:00+00:00,UNKNOWN_1,UNKNOWN_2,198.05846923330537,East Midlands,South West,,Coleford
208,Tractor Unit,Temperature-Controlled,PE11 2BB,EN9 3BZ,52.802649,-0.133151,51.678414,-0.006624,2024-01-14 02:30:00+00:00,2024-01-14 06:30:00+00:00,UNKNOWN_1,UNKNOWN_2,125.34502211583886,East of England,East Midlands,Waltham Abbey,"South Holland, unparished area"
209,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,BT45 7AG,53.293393,-1.074008,54.794994,-6.781236,2024-01-10 10:00:00+00:00,2024-01-12 11:31:00+00:00,UNKNOWN_1,UNKNOWN_2,408.2912385168347,,East Midlands,,
210,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,CM19 5BD,53.293393,-1.074008,51.775406,0.075337,2024-01-11 21:59:00+00:00,2024-01-12 14:10:00+00:00,VERY SMALL,BAD,185.88636367255444,,East Midlands,,
211,3.5T Van,LWB Van,L24 8RF,DE74 2TR,53.349124,-2.876108,52.829374,-1.332134,2024-01-18 19:25:00+00:00,2024-01-18 22:15:00+00:00,BIG,GOOD,118.23316401471695,East Midlands,North West,Castle Donington,"Liverpool, unparished area"
212,Tractor Unit,Curtain-Side 13.6M Trailer,DN8 5TE,GU9 9JX,53.566639,-0.919839,51.227379,-0.76677,2024-01-17 18:00:00+00:00,2024-01-19 15:59:00+00:00,UNKNOWN_1,UNKNOWN_2,260.40264440651555,South East,Yorkshire and The Humber,Farnham,Hatfield
213,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,MK41 7BJ,53.295391,-1.066283,52.151481,-0.47677,2024-01-19 06:52:00+00:00,2024-01-19 12:39:00+00:00,VERY SMALL,BAD,133.28960100714795,East of England,East Midlands,"Bedford, unparished area",
214,Tractor Unit,Box 44ft,BD5 8LZ,HP2 7PZ,53.764125,-1.740145,51.771841,-0.439918,2024-01-20 03:00:00+00:00,2024-01-20 10:46:00+00:00,SMALL,OKAY,238.24175994489434,East of England,Yorkshire and The Humber,"Dacorum, unparished area","Bradford, unparished area"
215,Tractor Unit,Curtain-Side 13.6M Trailer,BS20 7XL,CH6 5PU,51.489669,-2.720403,53.236513,-3.104777,2024-01-16 08:30:00+00:00,2024-01-17 07:30:00+00:00,UNKNOWN_1,UNKNOWN_2,196.0465345099233,,South West,Flint,Pill and Easton-in-Gordano
216,Tractor Unit,Box,BD12 7ER,BS35 3UT,53.753128,-1.722985,51.602493,-2.52138,2024-01-19 01:30:00+00:00,2024-01-19 07:30:00+00:00,UNKNOWN_1,UNKNOWN_2,245.19498424996058,South West,Yorkshire and The Humber,Thornbury,"Kirklees, unparished area"
217,3.5 T Van,Box,ME16 0LE,HA9 0QL,51.292639,0.493261,51.561978,-0.288733,2024-01-16 15:00:00+00:00,2024-01-17 09:00:00+00:00,UNKNOWN_1,UNKNOWN_2,61.95729218982378,,South East,,Aylesford
218,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-11 12:00:00+00:00,2024-01-11 20:00:00+00:00,VERY SMALL,BAD,198.05846923330537,East Midlands,South West,,Coleford
219,Tractor Unit,Curtain-Side 13.6M Trailer,WS10 7WL,B8 1AE,52.543992,-2.030867,52.482568,-1.868331,2024-01-10 09:30:00+00:00,2024-01-10 14:00:00+00:00,SMALL,OKAY,12.951100919946557,West Midlands,West Midlands,"Birmingham, unparished area","Sandwell, unparished area"
220,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-17 15:17:00+00:00,2024-01-17 21:15:00+00:00,UNKNOWN_1,UNKNOWN_2,198.05846923330537,East Midlands,South West,,Coleford
221,3.5T Van,LWB Van,CA3 0EH,DE74 2TR,54.922111,-2.957338,52.829374,-1.332134,2024-01-18 17:45:00+00:00,2024-01-18 22:10:00+00:00,BIG,GOOD,255.993602608651,East Midlands,North West,Castle Donington,
222,Tractor Unit,Curtain-Side 13.6M Trailer,WA7 4HP,SO16 0YW,53.324964,-2.758291,50.935773,-1.475971,2024-01-11 15:30:00+00:00,2024-01-12 12:30:00+00:00,VERY SMALL,GOOD,279.7894595328013,South East,North West,Nursling and Rownhams,"Halton, unparished area"
223,3.5T Van,Box,BD5 8LZ,LS27 0FU,53.7938,-1.756358,53.734398,-1.604189,2024-01-11 23:00:00+00:00,2024-01-12 00:30:00+00:00,UNKNOWN_1,UNKNOWN_2,11.989820705793848,Yorkshire and The Humber,Yorkshire and The Humber,Morley,"Bradford, unparished area"
224,3.5 T Van,LWB Van,ST21 6LQ,WV10 7QD,52.87726,-2.242536,52.647955,-2.113013,2024-01-12 11:30:00+00:00,2024-01-12 13:30:00+00:00,UNKNOWN_1,UNKNOWN_2,26.9542853750593,West Midlands,West Midlands,Featherstone,Eccleshall
225,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-10 14:00:00+00:00,2024-01-10 20:00:00+00:00,UNKNOWN_1,UNKNOWN_2,198.05846923330537,East Midlands,South West,,Coleford
226,3.5T Van,LWB Van,SL3 0BB,E1W 2DA,51.470809,-0.514738,51.508022,-0.05711,2024-01-11 06:45:00+00:00,2024-01-11 09:15:00+00:00,SMALL,GOOD,31.963613013455063,London,South East,"Tower Hamlets, unparished area",Colnbrook with Poyle
227,Tractor Unit,Curtain-Side 13.6M Trailer,BS20 7XL,CH6 5PU,51.489669,-2.720403,53.236513,-3.104777,2024-01-17 08:30:00+00:00,2024-01-18 07:30:00+00:00,UNKNOWN_1,UNKNOWN_2,196.0465345099233,,South West,Flint,Pill and Easton-in-Gordano
228,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,EX2 8FD,53.295391,-1.066283,50.697515,-3.522907,2024-01-11 17:42:00+00:00,2024-01-12 11:49:00+00:00,VERY SMALL,GOOD,334.3245322370208,South West,East Midlands,"Exeter, unparished area",
229,Tractor Unit,Curtain-Side 13.6M Trailer,SK13 2NU,LE19 1WY,53.483205,-1.924197,52.601576,-1.18816,2024-01-11 10:30:00+00:00,2024-01-11 17:00:00+00:00,SMALL,OKAY,109.7219204896876,East Midlands,,Braunstone,
230,Tractor Unit,Curtain-Side 13.6M Trailer,SK13 2NU,LE19 1WY,53.483205,-1.924197,52.601576,-1.18816,2024-01-15 10:30:00+00:00,2024-01-15 17:00:00+00:00,SMALL,OKAY,109.7219204896876,East Midlands,,Braunstone,
231,Tractor Unit,Curtain-Side 13.6M Trailer,WN4 8DE,LE19 1WY,53.501398,-2.64202,52.601576,-1.18816,2024-01-17 10:30:00+00:00,2024-01-17 17:00:00+00:00,UNKNOWN_1,UNKNOWN_2,139.51587025296902,East Midlands,North West,Braunstone,"Wigan, unparished area"
232,Tractor Unit,Box,ML1 4UY,RM19 1ND,55.825081,-3.985495,51.480755,0.261461,2024-01-17 11:00:00+00:00,2024-01-18 09:00:00+00:00,UNKNOWN_1,UNKNOWN_2,558.2258185729385,East of England,,"Thurrock, unparished area",
233,Tractor Unit,Curtain-Side 13.6M Trailer,WA7 4HP,TS18 2SA,53.324964,-2.758291,54.574392,-1.282385,2024-01-16 14:00:00+00:00,2024-01-17 12:00:00+00:00,VERY SMALL,BAD,169.24661984369516,North East,North West,"Stockton-on-Tees, unparished area","Halton, unparished area"
234,Tractor Unit,Curtain-Side 13.6M Trailer,DN8 5TE,CO4 5RB,53.566639,-0.919839,51.940308,0.903776,2024-01-16 18:00:00+00:00,2024-01-17 15:59:00+00:00,VERY SMALL,BAD,218.60588731234157,East of England,Yorkshire and The Humber,Boxted,Hatfield
235,3.5 T Van,Box,ME16 0LE,TN24 0SD,51.292639,0.493261,51.136865,0.878557,2024-01-15 15:00:00+00:00,2024-01-16 09:00:00+00:00,UNKNOWN_1,UNKNOWN_2,31.95130459175598,South East,South East,,Aylesford
236,Tractor Unit,Curtain-Side 13.6M Trailer,SK16 4UG,LE19 1WY,53.467889,-2.096702,52.601576,-1.18816,2024-01-10 10:30:00+00:00,2024-01-10 17:00:00+00:00,SMALL,BAD,113.91909259605275,East Midlands,North West,Braunstone,"Tameside, unparished area"
237,Tractor Unit,Curtain-Side 13.6M Trailer,LE3 8DX,JE2 3ND,52.648951,-1.2175,49.205063,-2.109092,2024-01-16 06:30:00+00:00,2024-01-16 21:00:00+00:00,UNKNOWN_1,UNKNOWN_2,388.1212540218977,,East Midlands,,Glenfields
238,Tractor Unit,Temperature-Controlled,HU70,NN6 7SL,53.774942,-0.335823,52.349274,-1.149793,2024-01-16 23:30:00+00:00,2024-01-17 03:30:00+00:00,UNKNOWN_1,UNKNOWN_2,167.6481514046351,East Midlands,,Crick,
239,3.5T Van,Box,S35 2PW,NW10 7XF,53.476537,-1.471065,51.534977,-0.273963,2024-01-18 01:30:00+00:00,2024-01-18 05:30:00+00:00,BIG,GOOD,230.65833418251373,London,Yorkshire and The Humber,"Brent, unparished area",Ecclesfield
240,3.5T Van,Box,BD5 8LZ,G67 2XN,53.765877,-1.742019,55.936823,-3.983473,2024-01-11 18:30:00+00:00,2024-01-11 23:30:00+00:00,UNKNOWN_1,UNKNOWN_2,280.8768777483911,,Yorkshire and The Humber,,"Bradford, unparished area"
241,Tractor Unit,Box 44ft,BD5 8LZ,BS35 3UT,53.764125,-1.740145,51.602415,-2.522567,2024-01-19 03:00:00+00:00,2024-01-19 12:22:00+00:00,VERY SMALL,VERY BAD,246.16253332699074,South West,Yorkshire and The Humber,Thornbury,"Bradford, unparished area"
242,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,NN15 5YT,53.295391,-1.066283,52.370504,-0.684925,2024-01-19 01:00:00+00:00,2024-01-19 06:15:00+00:00,VERY SMALL,BAD,106.01843194439063,East Midlands,East Midlands,Burton Latimer,
243,3.5T Van,Box,BD5 8LZ,BS16 7LR,53.765877,-1.742019,51.501707,-2.466686,2024-01-13 23:30:00+00:00,2024-01-14 04:00:00+00:00,UNKNOWN_1,UNKNOWN_2,256.54669633869867,South West,Yorkshire and The Humber,,"Bradford, unparished area"
244,18T Rigid,Curtain Side,AL10 9TR,GL12 8BT,51.77179,-0.251425,51.628034,-2.436777,2024-01-18 11:00:00+00:00,2024-01-18 14:30:00+00:00,UNKNOWN_1,UNKNOWN_2,151.49427607877416,South West,East of England,Cromhall,Hatfield
245,18T Rigid,High Security,AL10 9TR,GL12 8BT,51.772167,-0.250353,51.628034,-2.436777,2024-01-12 05:30:00+00:00,2024-01-12 09:00:00+00:00,SMALL,OKAY,151.57156075267133,South West,East of England,Cromhall,Hatfield
246,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-17 16:00:00+00:00,2024-01-17 21:30:00+00:00,UNKNOWN_1,UNKNOWN_2,198.05846923330537,East Midlands,South West,,Coleford
247,18T Rigid,Curtain Side,LS10 1SL,HX1 4EY,53.771668,-1.514934,53.72069,-1.884278,2024-01-15 08:30:00+00:00,2024-01-15 10:00:00+00:00,VERY SMALL,VERY BAD,24.947344184356552,Yorkshire and The Humber,Yorkshire and The Humber,,
248,Tractor Unit,Curtain-Side 13.6M Trailer,DN8 5TE,NP44 2BZ,53.566639,-0.919839,51.667847,-2.993056,2024-01-10 22:00:00+00:00,2024-01-11 10:00:00+00:00,SMALL,OKAY,253.36982593713964,,Yorkshire and The Humber,New Inn,Hatfield
250,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,NP26 3DF,53.295391,-1.066283,51.55991,-2.882457,2024-01-16 15:00:00+00:00,2024-01-17 07:01:00+00:00,SMALL,BAD,228.973400514322,,East Midlands,Redwick,
251,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-11 16:47:00+00:00,2024-01-11 22:45:00+00:00,UNKNOWN_1,UNKNOWN_2,198.05846923330537,East Midlands,South West,,Coleford
252,3.5 T Van,LWB Van,LS10 1SL,LE65 1PF,53.771668,-1.514934,52.75449,-1.457027,2024-01-11 09:30:00+00:00,2024-01-11 13:00:00+00:00,VERY SMALL,VERY BAD,113.20610337662276,East Midlands,Yorkshire and The Humber,Ashby-de-la-Zouch,
253,Tractor Unit,Curtain-Side 13.6M Trailer,DN8 5TE,GL18 1DN,53.566639,-0.919839,51.953947,-2.411226,2024-01-19 16:00:00+00:00,2024-01-22 15:59:00+00:00,SMALL,BAD,205.5479590747434,South West,Yorkshire and The Humber,Newent,Hatfield
254,Tractor Unit,Box 44ft,BD5 8LZ,HP2 7PZ,53.764125,-1.740145,51.771841,-0.439918,2024-01-13 04:00:00+00:00,2024-01-13 11:46:00+00:00,UNKNOWN_1,UNKNOWN_2,238.24175994489434,East of England,Yorkshire and The Humber,"Dacorum, unparished area","Bradford, unparished area"
255,3.5T Van,Box,DE74 2HJ,RG19 4BQ,52.849573,-1.348959,51.399439,-1.23272,2024-01-18 18:30:00+00:00,2024-01-18 21:30:00+00:00,BIG,GOOD,161.49330404132945,South East,East Midlands,Thatcham,Castle Donington
256,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 1BZ,DE14 2WT,52.803864,-1.641981,52.800481,-1.663328,2024-01-10 11:15:00+00:00,2024-01-10 10:45:00+00:00,MEDIUM,BAD,1.4840019928369526,West Midlands,,Shobnall,
257,Tractor Unit,Box 44ft,BD5 8LZ,BS35 3UT,53.764125,-1.740145,51.602415,-2.522567,2024-01-17 22:00:00+00:00,2024-01-18 10:52:00+00:00,SMALL,BAD,246.16253332699074,South West,Yorkshire and The Humber,Thornbury,"Bradford, unparished area"
258,Tractor Unit,Curtain-Side 13.6M Trailer,WA7 4HP,SN2 2DJ,53.324964,-2.758291,51.567598,-1.812181,2024-01-17 14:00:00+00:00,2024-01-18 12:00:00+00:00,SMALL,BAD,205.72129641574324,South West,North West,Central Swindon North,"Halton, unparished area"
259,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,EH54 8QX,53.293393,-1.074008,55.896335,-3.53565,2024-01-17 12:59:00+00:00,2024-01-18 07:25:00+00:00,VERY SMALL,BAD,330.0849475050954,,East Midlands,,
260,Tractor Unit,Curtain-Side 13.6M Trailer,WA7 4HP,G53 7RJ,53.324964,-2.758291,55.802866,-4.339224,2024-01-15 14:00:00+00:00,2024-01-16 09:00:00+00:00,UNKNOWN_1,UNKNOWN_2,293.8497940536675,,North West,,"Halton, unparished area"
261,Tractor Unit,Tractor Only 6x2,DN3 3FQ,DN3 3FQ,53.534344,-1.035929,53.534344,-1.035929,2024-01-17 07:00:00+00:00,2024-01-17 18:00:00+00:00,SMALL,GOOD,0.0,Yorkshire and The Humber,Yorkshire and The Humber,Armthorpe,Armthorpe
262,Tractor Unit,Curtain-Side 13.6M Trailer,WA7 4HP,BL1 2SL,53.324964,-2.758291,53.586063,-2.424932,2024-01-12 14:00:00+00:00,2024-01-15 09:00:00+00:00,UNKNOWN_1,UNKNOWN_2,36.481595785777436,North West,North West,"Bolton, unparished area","Halton, unparished area"
263,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,G75 0QH,53.462845,-2.896967,55.764352,-4.176999,2024-01-18 10:01:00+00:00,2024-01-18 18:25:00+00:00,SMALL,OKAY,268.9338353793112,,North West,,"Liverpool, unparished area"
264,3.5T Van,LWB Van,DE74 2TR,L24 8RF,52.829374,-1.332134,53.349124,-2.876108,2024-01-13 05:45:00+00:00,2024-01-13 10:00:00+00:00,BIG,GOOD,118.23316401471695,North West,East Midlands,"Liverpool, unparished area",Castle Donington
265,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,EH54 8TB,53.295391,-1.066283,55.902768,-3.581976,2024-01-18 09:56:00+00:00,2024-01-18 19:47:00+00:00,VERY SMALL,BAD,332.1927896465237,,East Midlands,,
266,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-17 11:00:00+00:00,2024-01-17 17:00:00+00:00,VERY SMALL,BAD,198.05846923330537,East Midlands,South West,,Coleford
267,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-16 15:00:00+00:00,2024-01-16 21:00:00+00:00,VERY SMALL,BAD,198.05846923330537,East Midlands,South West,,Coleford
268,Tractor Unit,Curtain-Side 13.6M Trailer,DN3 3FG,BS10 7JB,53.537133,-1.037405,51.51091,-2.619005,2024-01-12 18:00:00+00:00,2024-01-15 11:59:00+00:00,SMALL,BAD,249.48624244609405,South West,Yorkshire and The Humber,"Bristol, City of, unparished area",Armthorpe
269,3.5T Van,Box,BD5 8LZ,LS27 0FU,53.766832,-1.740516,53.734398,-1.604189,2024-01-17 23:00:00+00:00,2024-01-18 00:30:00+00:00,UNKNOWN_1,UNKNOWN_2,9.664829355826939,Yorkshire and The Humber,Yorkshire and The Humber,Morley,"Bradford, unparished area"
270,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-12 04:47:00+00:00,2024-01-12 10:45:00+00:00,VERY SMALL,VERY BAD,198.05846923330537,East Midlands,South West,,Coleford
271,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,RM19 1ND,53.295391,-1.066283,51.480755,0.261461,2024-01-19 18:56:00+00:00,2024-01-20 09:17:00+00:00,UNKNOWN_1,UNKNOWN_2,221.04244264128144,East of England,East Midlands,"Thurrock, unparished area",
272,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,ML4 3QD,53.462845,-2.896967,55.82813,-4.041567,2024-01-17 14:01:00+00:00,2024-01-18 06:25:00+00:00,VERY SMALL,OKAY,273.19950912492556,,North West,,"Liverpool, unparished area"
273,Tractor Unit,Box 44ft,BD5 8LZ,HP2 7PZ,53.764125,-1.740145,51.771841,-0.439918,2024-01-15 03:00:00+00:00,2024-01-15 10:46:00+00:00,SMALL,OKAY,238.24175994489434,East of England,Yorkshire and The Humber,"Dacorum, unparished area","Bradford, unparished area"
274,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-18 13:32:00+00:00,2024-01-18 19:30:00+00:00,VERY SMALL,BAD,198.05846923330537,East Midlands,South West,,Coleford
275,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,TA6 4FG,53.293393,-1.074008,51.155543,-2.983834,2024-01-18 18:59:00+00:00,2024-01-19 09:05:00+00:00,SMALL,BAD,271.0459124145128,South West,East Midlands,Bridgwater Without,
276,3.5T Van,LWB Van,E1W 2DA,CM22 7FD,51.508022,-0.05711,51.869555,0.216885,2024-01-11 19:35:00+00:00,2024-01-11 21:45:00+00:00,SMALL,GOOD,44.430353608873986,East of England,London,Great Hallingbury,"Tower Hamlets, unparished area"
277,Tractor Unit,Curtain-Side 13.6M Trailer,M17 1RW,LE17 4XN,53.47243,-2.332477,52.462306,-1.246071,2024-01-12 13:30:00+00:00,2024-01-12 19:00:00+00:00,UNKNOWN_1,UNKNOWN_2,133.86424737907436,East Midlands,North West,Bitteswell with Bittesby,"Trafford, unparished area"
278,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-19 06:00:00+00:00,2024-01-19 12:00:00+00:00,UNKNOWN_1,UNKNOWN_2,198.05846923330537,East Midlands,South West,,Coleford
279,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-16 12:17:00+00:00,2024-01-16 18:15:00+00:00,SMALL,BAD,198.05846923330537,East Midlands,South West,,Coleford
280,Tractor Unit,Curtain-Side 13.6M Trailer,DG16 5HT,TN21 8XG,55.003467,-3.042858,50.984912,0.314268,2024-01-18 15:00:00+00:00,2024-01-22 15:59:00+00:00,UNKNOWN_1,UNKNOWN_2,500.16968901065223,South East,North West,Heathfield and Waldron,Kirkandrews
281,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,SG19 2HE,53.295391,-1.066283,52.109985,-0.152017,2024-01-17 15:56:00+00:00,2024-01-18 10:17:00+00:00,SMALL,BAD,145.53828542601062,East of England,East Midlands,Wrestlingworth and Cockayne Hatley,
282,3.5T Van,LWB Van,DE74 2TR,NE11 0JY,52.829374,-1.332134,54.922706,-1.607332,2024-01-19 05:45:00+00:00,2024-01-19 10:05:00+00:00,BIG,GOOD,233.53870411993177,North East,East Midlands,"Gateshead, unparished area",Castle Donington
283,3.5T Van,LWB Van,SL3 0BB,E1W 2DA,51.470809,-0.514738,51.508022,-0.05711,2024-01-18 06:45:00+00:00,2024-01-18 09:15:00+00:00,SMALL,GOOD,31.963613013455063,London,South East,"Tower Hamlets, unparished area",Colnbrook with Poyle
284,Tractor Unit,Temperature-Controlled,PE10 0AT,EN9 3BZ,52.768719,-0.35975,51.678414,-0.006624,2024-01-18 09:30:00+00:00,2024-01-18 13:00:00+00:00,UNKNOWN_1,UNKNOWN_2,123.63786052616719,East of England,East Midlands,Waltham Abbey,Bourne
285,3.5T Van,LWB Van,NE11 0JY,DE74 2TR,54.922706,-1.607332,52.829374,-1.332134,2024-01-15 18:25:00+00:00,2024-01-15 22:10:00+00:00,BIG,GOOD,233.53870411993177,East Midlands,North East,Castle Donington,"Gateshead, unparished area"
286,3.5T Van,LWB Van,WR4 0SZ,DE74 2TR,52.193636,-2.221575,52.829374,-1.332134,2024-01-11 18:00:00+00:00,2024-01-11 20:30:00+00:00,BIG,GOOD,92.87280901369287,East Midlands,West Midlands,Castle Donington,Warndon
287,Tractor Unit,Box,BD12 7ER,HP2 7PZ,53.753128,-1.722985,51.771553,-0.439081,2024-01-18 22:30:00+00:00,2024-01-19 02:30:00+00:00,SMALL,OKAY,236.73550930567035,East of England,Yorkshire and The Humber,"Dacorum, unparished area","Kirklees, unparished area"
288,3.5T Van,Box,DE74 2HJ,RG19 4BQ,52.849573,-1.348959,51.399439,-1.23272,2024-01-20 18:30:00+00:00,2024-01-20 21:30:00+00:00,BIG,GOOD,161.49330404132945,South East,East Midlands,Thatcham,Castle Donington
289,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-10 07:00:00+00:00,2024-01-10 14:00:00+00:00,UNKNOWN_1,UNKNOWN_2,198.05846923330537,East Midlands,South West,,Coleford
290,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-15 18:00:00+00:00,2024-01-16 02:00:00+00:00,VERY SMALL,VERY BAD,198.05846923330537,East Midlands,South West,,Coleford
291,Tractor Unit,Box,BD12 7ER,HP2 7PZ,53.753128,-1.722985,51.771553,-0.439081,2024-01-11 20:00:00+00:00,2024-01-12 03:00:00+00:00,SMALL,OKAY,236.73550930567035,East of England,Yorkshire and The Humber,"Dacorum, unparished area","Kirklees, unparished area"
292,Tractor Unit,Tractor Only 6x2,DN3 3FQ,DN3 3FQ,53.534344,-1.035929,53.534344,-1.035929,2024-01-17 07:00:00+00:00,2024-01-17 18:00:00+00:00,SMALL,GOOD,0.0,Yorkshire and The Humber,Yorkshire and The Humber,Armthorpe,Armthorpe
293,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-11 22:47:00+00:00,2024-01-12 04:45:00+00:00,VERY SMALL,VERY BAD,198.05846923330537,East Midlands,South West,,Coleford
294,Tractor Unit,Curtain-Side 13.6M Trailer,L33 3AN,CV23 8BQ,53.470807,-2.849187,52.356984,-1.173373,2024-01-12 14:00:00+00:00,2024-01-15 17:00:00+00:00,UNKNOWN_1,UNKNOWN_2,167.2722829326195,East Midlands,North West,Kilsby,"Knowsley, unparished area"
295,3.5T Van,Box,BD5 8LZ,LE3 8DX,53.765877,-1.742019,52.641456,-1.216005,2024-01-10 01:00:00+00:00,2024-01-11 03:00:00+00:00,BIG,GOOD,129.88528263557134,East Midlands,Yorkshire and The Humber,Glenfields,"Bradford, unparished area"
